1,2024-02-02,@psalazar,[@jperez] Realizando un estudio sobre redes neuronales.
2,2024-02-05,@jperez,[@mlopez @rrojas] Discutiendo sobre aplicaciones de inteligencia artificial en arquitectura.
3,2024-02-10,@mlopez,[@cibarra] Compartiendo avances en un proyecto de diseño urbano sostenible.
4,2024-02-15,@rrojas,[@avaldez] Preparando un taller sobre ética en inteligencia artificial.
5,2024-02-20,@cibarra,[@dtorres @lgarcia] Revisando casos de estudio en ciencias sociales y tecnología.
6,2024-02-25,@dtorres,[@fsanchez] Presentando prototipos de sistemas inteligentes aplicados al arte.
7,2024-03-01,@avaldez,[@mmendoza] Analizando datos de encuestas en el ámbito académico.
8,2024-03-05,@lgarcia,[@psalazar] Desarrollando un simulador para modelos predictivos.
9,2024-03-10,@mmendoza,[@jperez @fsanchez] Organizándonos para la feria universitaria sobre innovación.
10,2024-03-15,@fsanchez,[@mlopez @cibarra] Creando material multimedia para la campaña de difusión científica.
